"","score","review"
"67","10",""
"68","3",""
"69","10","꿀잼"
"70","10","재밌다"
"71","10","군더더기없어서너무좋았음.진짜담백하고목적이확실한영화.조정석의능청연기는한국최고인듯"
"72","10","잼있기만하네"
"73","5",""
"74","3","예상외로재미있다고해서봤는데예상대로별로인영화스토리고짜임새고뭐고없음힘겹게옥상올라가는걸로대부분이흘러감끊어지지않는연출력정도있음생각없이보면그럭저럭볼만함"
"75","9","잼있어여가볍게보면서도뭔가뭉클한?암튼박진감넘쳐요영화가항상빵빵터져야하는건아니잖아요볼만합니다^^전너무잼있게봤어요"
"76","10","역시조정석!!임윤아도최고^^"
"77","7","클라이밍을재난스토리에잘접목시킨가볍게볼수있는영화"
"78","1","넘유치하고억지스런설정돈주고보면아까울듯"
"79","9","재미도있지만.새로운트랜드(오락하는느낌)의구도도입등.다양한카메라앵글및액션시도에창의적이라는감탄이절로나옴.글로벌히트가능할것같은재미..."
"80","10","간만에잘웃었음..ㅎㅎ"
"81","8","천만영화코앞에서온라인판매하고2번씩봤음술술술"
"82","1","억지스런설정에지겨운만류에질질질질끌어대면서장소만바꿔가며찍은위기극복장면들의나열로속도감없는전개에신파아닌척하는신파에그냥전형적인B급영화이런걸굳이왜보러가는지도무지이해불가"
"83","1","정부지원금이남아서인더더스트를배낀영화끝."
"84","9","와대박잼났어긴장감도있고재미도있고신선한영화!!"
"85","9","다른말필요읎고요.이게바로한국에서만든영화다."
"86","8","응!생각보다웃겼어ㆍ볼만했어ㆍ가슴을후벼판건봉오동전투좋았지ㆍ박진감ㆍ희열ㆍ우리조상독립군들ㆍ액시트는그냥소소하게시간떼우고꽤나흥미롭게잼있게본영화ㆍ주인공남자분잘생겼든디마누라가거미라ㆍㆍ흠ㆍ스타일특이하시네하하하ㆍ거미는얼굴상이남자상인데ㆍ앗!죄송얼굴비하하는건아닌데거미는외모가남자상에마녀상이라좀섬뜻한데암튼취향특이하시네ㆍㆍ성격보신건가?흠ㆍㆍ외모보단내적을더중시하는나도이해는감ㆍ남자배우잘생기고연기도좋았음!"
"87","6","한국의주성치조정석이있다!긴장감은인정"
"88","2","생존자두명이하는파리목숨으로여기나?드론도금방찾아내는데헬기가못찾아서그렇게뛰어갈동안구조하러올생각을안하네.."
"89","0","쓰레기윤아?아이돌것들좀그만쳐나와라,영화베린다,"
"90","3","기대가너무컸던것같아"
"91","6","예고편보고너무기대를안해서일까킬링타임용은되는듯"
"92","10","좋았다"
"93","10","아니0점주신분들뭡니까10점은줘야지"
"94","10","시사회때봤는데신선하고재밌었음"
"95","10","재밌었음!외국진출해도좋을듯"
"96","1","노잼"
"97","8","오버스럽지만재미는있어요."
"98","10","재미있구만^^명품배우들연기때문에영화가살았다"
"99","10",""
"100","9","신선하고볼만함"
"101","0","하아진짜재미없는데요.하나도안웃기고한번도웃은적없음.개연성도없고일관성도없고웃기지도않고재미도없고내용도없고하아..."
"102","10","재미있네"
"103","0","재미도없어긴장감도그닥이야..제작비의50%는평점댓글알바급여다.이게내결론이다."
"104","8","올해본영화중다섯손가락안에들겄네~"
"105","10","긴장감최고."
"106","10","한순간도긴장의끈을놓을수없는영화그후알콩달콩이있었음왠지더좋았을...잼있었어요"
"107","10",""
"108","10","좋았음"
"109","6",""
"110","8","옥의티가많이있데.그나자나긴장감넘치고재밌는영화..지겹지않음"
"111","10","재미있고감동적이네요"
"112","9","오랜만에재밌는조정석영화를만났네ㅋㅋㅋ오래걸렸다ㅋ"
"113","9","잼있다...꼭.보길.."
"114","10","너무재밌는영화~"
"115","8","이정도면괜찮은거아님?아무리재미없어도1점은아니질않냐?...평점테러하는쓰레기들...니들이좋다는영화를한번보고싶다."
"116","9","잼났움"
"117","8","기대없이봤다.900만넘은건의외이지만,긴장감넘치는연출력좋았다!"
"118","1","왜봤을까??"
"119","1",""
"120","10",""
"121","8","재미있다.연기잘한다.전개좋다."
"122","7","재난상황을소재로펼쳐지는코미디가유쾌하군"
"123","10","난잼나게봤음.이정도면잘맹글었음.잘한건좀잘했다고해라.평점1점들아,,,뭔쌤통이이렇게심하냐?,,혹시,,쩍바리?????"
"124","10",""
"125","1","영화보다가그만본건염력이후두번째임.졸작도이런졸작이없었고염력을염병이라고생각했는데이것도쌍욕나몸.완전초등영화.에라이~~"
"126","1","영화보다짜증나서속으로욕하며봄ㅜㅜ평점에낚여봤는데너무너무유치함...우리나라영화수준이것밖에안되나ㅠㅠ"
"127","8","재밌었다긴장감좋고~아이들과같이봐도좋았다.코믹요소도조금있지만약간어색..마무리아쉬움"
"128","1","......."
"129","1","정말유치해서...평점에낚이다...졸라재미없다...수준이하...쌍팔년도영화수준...핸드폰으로구조요청하는장면...유치해서내가다무안하다...감독...참....자질이없다...."
"130","10","진짜재밌었요"
"131","6","ㆍ"
"132","10","말이필요없는최고영화입니다보는각도의수준을높여주세요재미로만끝나는영화가아니네요"
"133","10","올해영화중에는최고인듯"
"134","10","최고네요"
"135","7","한국국민들의수준이보인다.이런영화가무슨천만?거지같은영화"
"136","1","원맨쇼~~~~둘이지금머하니?"
"137","6","재밌고참신한재난영화.코미디랑설정의디테일함,신파는조절의간극이."
"138","10","이런영화가천만이상가야죠극한직업이1600만인데ㅋ엑시트재난영화중에최고아닐까요울고웃고재밌었어요배우들연기도잘하고요ㅜㅜ"
"139","8",""
"140","0","제작비에홍보마케팅비용비율이제일컸을듯..ㅠㅠ"
"141","5","배우들의연기도좋고매번재난영화는폭탄테러나화제였는데생화학테러라는설정도신선했는데물로씻겨져나다는게어이없었음그많은빌딩에연기나는데스프링쿨러만터져도저런상황이안생기는거아닌가...그리고그씻겨져간화학가스가물은안오염시키가테러이유도단순한회사해고에대한앙심이런개연성이조금아쉬웠네요"
"142","1","누구를미워하는게아니다이런영화가천만가까이...조작이아니라면우리나라수준정말급실망..ㅋㅋ"
"143","10","신파랑감동을구분못하는찌질이들이평점테러해서그렇지좋은영화임"
"144","10",""
"145","4",""
"146","9","막판에신파삼류삘이있어그렇지어벤져스엔드게임보다스릴있더라윤아궁댕이가좀더나왓음하지만감독이양심이있더라"
"147","8","재미나게잘봤어요드론나오는장면에감동~기계지만사람이만든기계"
"148","3","유치에신파에재미도없고....우리나라영화산업이퇴보하는것같다."
"149","10",""
"150","9",""
"151","10","예상했던거보다재밌었어요신선한느낌의재난영화였어요"
"152","10","재미있었어요!!^^"
"153","10","최고"
